City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Jesenik,CZ,50.2294,17.2046,33.98,99,99,20.0,overcast clouds
273,Florianopolis,BR,-27.6146,-48.5012,90.25,65,0,1.99,clear sky
274,Gamba,GA,-2.65,10.0,77.2,82,99,6.62,light rain
275,Livingston,GB,55.9029,-3.5226,44.85,93,40,4.61,scattered clouds
276,Coolum Beach,AU,-26.5333,153.1,67.1,88,99,13.53,overcast clouds
277,Batagay-Alyta,RU,67.8006,130.4114,-24.0,95,79,5.26,broken clouds
278,Riyadh,SA,24.6877,46.7219,66.34,33,66,10.33,broken clouds
279,Kholbon,RU,51.8833,116.25,-13.7,98,19,3.44,few clouds
280,Naze,JP,28.3667,129.4833,57.11,73,100,5.61,overcast clouds
281,Sept-Iles,CA,50.2001,-66.3821,27.12,86,90,5.75,light snow
282,Faya,SA,18.3851,42.4509,59.11,67,6,6.4,clear sky
283,Uyuni,BO,-20.4597,-66.825,57.88,49,86,5.57,overcast clouds
284,Upernavik,GL,72.7868,-56.1549,-5.17,68,36,3.71,scattered clouds
285,Hobart,AU,-42.8794,147.3294,53.06,86,46,4.61,scattered clouds
286,Owase,JP,34.0667,136.2,39.65,75,49,4.61,scattered clouds
287,Batagay,RU,67.6333,134.6333,-45.06,99,100,2.55,overcast clouds
288,Kuching,MY,1.55,110.3333,79.02,89,20,1.14,few clouds
289,Kanashevo,RU,55.2169,62.0634,5.56,93,74,6.76,broken clouds
290,Dubti,ET,11.7361,41.0853,86.18,30,0,10.67,clear sky
291,Dakar,SN,14.6937,-17.4441,97.68,48,0,6.91,clear sky
292,Sangmelima,CM,2.9333,11.9833,83.32,49,100,3.31,overcast clouds
293,Mercedes,AR,-34.6515,-59.4307,100.18,11,4,13.35,clear sky
294,Barauna,BR,-5.08,-37.6167,95.9,32,49,11.05,scattered clouds
295,Granada,ES,37.25,-3.25,56.86,48,12,4.23,few clouds
296,Salalah,OM,17.0151,54.0924,72.18,76,0,2.62,clear sky
297,Taltal,CL,-25.4,-70.4833,70.74,69,1,8.43,clear sky
298,Jasper,US,37.2001,-94.3502,53.53,93,90,6.91,light rain
299,Rocha,UY,-34.4833,-54.3333,92.21,16,37,10.51,scattered clouds
300,Sindi,IN,20.8,78.8667,65.28,54,87,7.58,overcast clouds
301,Miles City,US,46.4083,-105.8406,-4.49,83,20,8.05,few clouds
302,Doka,SD,13.5167,35.7667,84.45,36,65,14.65,broken clouds
303,Tautira,PF,-17.7333,-149.15,77.02,77,92,6.29,moderate rain
304,Leningradskiy,RU,69.3833,178.4167,-26.52,98,90,1.92,overcast clouds
305,Camabatela,AO,-8.1881,15.375,67.03,83,100,0.25,overcast clouds
306,Sam Roi Yot,TH,12.2708,99.872,75.88,78,17,5.61,few clouds
307,Brazzaville,CG,-4.2658,15.2832,89.96,55,40,9.22,light rain
308,Kaeo,NZ,-35.1,173.7833,66.33,95,100,3.85,overcast clouds
309,Porto Torres,IT,40.835,8.3972,60.98,84,80,13.65,broken clouds
310,Springbok,ZA,-29.6643,17.8865,68.7,45,5,18.1,clear sky
311,Nizhniy Tsasuchey,RU,50.5167,115.1333,-2.27,91,10,7.4,clear sky
312,Srandakan,ID,-7.9386,110.2506,63.73,83,53,1.54,moderate rain
313,Kotido,UG,2.9806,34.1331,79.88,36,96,12.75,overcast clouds
314,Zhuhai,CN,22.2769,113.5678,64.98,72,20,12.66,few clouds
315,Pag,HR,44.445,15.0575,54.18,79,97,6.67,overcast clouds
316,Havoysund,NO,70.9963,24.6622,22.08,83,50,11.23,scattered clouds
317,Karpogory,RU,64.0019,44.4451,0.14,98,100,2.57,overcast clouds
318,Vardo,NO,70.3705,31.1107,14.2,73,0,14.97,clear sky
319,Filingue,NE,14.3521,3.3168,85.8,9,99,8.93,overcast clouds
320,Komsomolskiy,UZ,40.4272,71.7189,31.42,80,0,4.61,mist
321,Katima Mulilo,NA,-17.5,24.2667,90.7,31,52,5.66,broken clouds
322,Basco,PH,20.4487,121.9702,73.53,71,71,20.87,broken clouds
323,Macomb,US,40.4592,-90.6718,36.16,96,90,11.01,snow
324,Krasnoselkup,RU,65.7,82.4667,7.27,95,100,11.72,overcast clouds
325,Houma,US,29.5958,-90.7195,79.0,84,59,11.01,broken clouds
326,Churapcha,RU,62.0025,132.4325,-57.42,100,75,1.25,broken clouds
327,Morrope,PE,-6.5417,-80.0111,77.11,58,100,12.53,overcast clouds
328,Xiaoshi,CN,41.2971,124.1209,23.02,95,87,4.54,overcast clouds
329,Nantucket,US,41.2835,-70.0995,44.96,91,100,15.32,overcast clouds
330,Mandera,KE,3.9366,41.867,91.35,18,85,9.6,overcast clouds
331,Poum,NC,-20.2333,164.0167,80.98,77,96,3.13,overcast clouds
332,Urumqi,CN,43.801,87.6005,5.95,85,7,0.0,mist
333,Mahajanga,MG,-15.7167,46.3167,78.82,83,75,4.61,broken clouds
