City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Cape Town,ZA,70.21,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
183,Davila,PH,71.58,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
202,Hilo,US,70.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
211,Broken Hill,AU,78.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
212,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
220,Bengkulu,ID,76.87,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
223,Cockburn Town,TC,78.24,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
232,Witbank,ZA,74.37,clear sky,-25.8713,29.2332,ANEW Hotel Witbank eMalahleni
234,Chake Chake,TZ,79.72,broken clouds,-5.2459,39.7666,Hotel Archipelago
236,Palomares,MX,78.35,few clouds,17.15,-95.0667,Hotel Monarca
240,Meulaboh,ID,77.83,broken clouds,4.1363,96.1285,Kost Pria
242,Makakilo City,US,73.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
244,Yulara,AU,78.64,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
247,Alyangula,AU,78.67,light rain,-13.8483,136.4192,Groote Eylandt Lodge
252,Bumba,CD,78.53,overcast clouds,2.1833,22.4667,Père Carlos
254,Hlatikulu,SZ,71.98,scattered clouds,-26.9667,31.3167,Assegai Inn
256,Garowe,SO,77.68,few clouds,8.4054,48.4845,Curubo Hotel
257,Cabo San Lucas,MX,75.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
258,Ixtapa,MX,75.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
261,Kailua,US,74.48,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
266,Pisco,PE,70.02,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
271,Biak,ID,76.96,light rain,-0.9131,122.8766,Penginapan Kim
288,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
296,Salalah,OM,72.18,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
297,Taltal,CL,70.74,clear sky,-25.4,-70.4833,Residencial Karime
303,Tautira,PF,77.02,moderate rain,-17.7333,-149.15,Pension Oaoa
306,Sam Roi Yot,TH,75.88,few clouds,12.2708,99.872,SeaBreezeResort Samroiyot
313,Kotido,UG,79.88,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
322,Basco,PH,73.53,broken clouds,20.4487,121.9702,Nathaniel's Lodge
325,Houma,US,79.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
327,Morrope,PE,77.11,overcast clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
333,Mahajanga,MG,78.82,broken clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
336,Moerai,PF,76.19,overcast clouds,-22.4333,-151.3333,Le Manotel
344,Bulawayo,ZW,79.32,broken clouds,-20.15,28.5833,4 On Housman Backpackers
347,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
351,Bandarbeyla,SO,77.18,few clouds,9.4942,50.8122,JABIR HOTEL
359,Santa Cruz Cabralia,BR,79.03,light rain,-16.2781,-39.0247,Puerto Princesa Inn
366,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
367,Ambovombe,MG,76.41,light rain,-25.1667,46.0833,RELAHARA
376,Kovur,IN,73.22,clear sky,14.4833,79.9833,Hotel Yesh Park
380,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
383,Alice,US,76.57,broken clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
